,,Model,Accuracy,Confusion Matrix,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades
normal,10,MLP,0.9174560216508796,"[[259  55]
 [  6 419]]",2022-03-18,2025-02-27,1077 days,66.71177266576454,10534.493217468269,11377.643318176277,5.34493217468269,23.782829534539438,1.791446171894684,26.22072649574626,1.2257995145680045,0.06832175958912912,0.09895707276177251,0.049761179058237286,-9.401548869860619,0.6200473759073629,-36.000878713064466,-6.548791168404325,940 days,107 days,20,40.0,25.529827987938592,-9.982478132486495,0.2854183226083995,126 days,35 days,1.2287500908047426,0.6443168581713776,0.17111310600319996,0.040622551160886367,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10274.954117     0.000000              NaT
2022-03-23  10158.701706     0.011314              NaT
2022-03-24  10399.346848     0.000000           2 days
...                  ...          ...              ...
2025-02-21  10534.493217     0.074106              NaT
2025-02-24  10534.493217     0.074106              NaT
2025-02-25  10534.493217     0.074106              NaT
2025-02-26  10534.493217     0.074106              NaT
2025-02-27  10534.493217     0.074106          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     73         2       16  136.101501  131.823502  ... 2022-04-11  20 days  None                 1               0
1     84        51       60  114.855003  106.535004  ... 2022-06-14  13 days  None                 1               0
2     76        68       73  118.273003  107.100502  ... 2022-07-05   8 days  None                 1               1
3     71        74       89  113.302002  109.260002  ... 2022-07-27  21 days  None                 1               0
4     68        92      112  115.300003  109.989998  ... 2022-08-29  28 days  None                 1               0
5     76       150      155   97.849998   92.269997  ... 2022-10-28   7 days  None                 1               0
6     74       166      189   95.089996   90.760002  ... 2022-12-16  32 days  None                 1               0
7     73       206      226   91.480003   95.449997  ... 2023-02-10  29 days  None                 1               0
8     74       242      245   94.980003   92.169998  ... 2023-03-10   3 days  None                 1               0
9     70       249      319   96.199997  117.080002  ... 2023-06-27 103 days  None                 1               0
10    69       321      322  119.239998  120.169998  ... 2023-06-30   1 days  None                 0               0
11    70       324      328  119.239998  116.290001  ... 2023-07-11   6 days  None                 1               0
12    65       331      380  124.800003  130.759995  ... 2023-09-22  70 days  None                 1               0
13    62       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
14    58       416      431  131.779999  128.949997  ... 2023-12-05  22 days  None                 1               0
15    54       441      470  136.839996  142.119995  ... 2024-02-01  44 days  None                 1               0
16    54       500      586  142.500000  178.880005  ... 2024-07-19 126 days  None                 1               0
17    59       609      615  165.149994  164.309998  ... 2024-08-29   8 days  None                 1               0
18    60       628      675  159.860001  165.850006  ... 2024-11-22  65 days  None                 1               0
19    55       686      725  182.850006  191.050003  ... 2025-02-07  59 days  None                 1               0

[20 rows x 15 columns]"
normal,11,LGBMClassifier,0.9539918809201624,"[[293  21]
 [ 13 412]]",2022-03-18,2025-02-27,1077 days,61.299052774018946,9449.625541687014,10401.12548065186,-5.503744583129865,23.782829534539438,-1.9118948368754052,23.509335997952128,-1.315844919915632,-0.0813249186213489,-0.1133350506579028,-0.06481704332073274,-18.313605868926675,0.5386180507745408,-29.496791876402295,-7.516054072632793,948 days,154 days,20,50.0,25.529827987938592,-9.982478132486495,-0.2801052641414947,126 days,32 days,1.0060955217474385,0.016333590529876707,-0.19277211369327796,-0.06710149671852972,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23   9969.255859     0.003074              NaT
2022-03-24  10035.819824     0.000000           2 days
...                  ...          ...              ...
2025-02-21   9449.625542     0.091480              NaT
2025-02-24   9449.625542     0.091480              NaT
2025-02-25   9449.625542     0.091480              NaT
2025-02-26   9449.625542     0.091480              NaT
2025-02-27   9449.625542     0.091480          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     72         3        4  138.702499  139.199997  ... 2022-03-24   1 days  None                 0               1
1     70         5       17  141.916000  131.600006  ... 2022-04-12  18 days  None                 1               0
2     80        53       54  116.062500  116.704498  ... 2022-06-06   3 days  None                 0               1
3     81        55       58  115.480499  112.445000  ... 2022-06-10   3 days  None                 1               0
4     77        68       69  118.273003  115.802498  ... 2022-06-28   1 days  None                 0               0
5     76        76       89  117.250000  109.260002  ... 2022-07-27  19 days  None                 1               0
6     72        93       94  114.000000  115.709999  ... 2022-08-03   1 days  None                 0               1
7     71        95      112  117.480003  109.989998  ... 2022-08-29  25 days  None                 1               0
8     80       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
9     79       208      209   92.059998   92.139999  ... 2023-01-18   1 days  None                 0               0
10    75       212      226   97.949997   95.449997  ... 2023-02-10  18 days  None                 1               0
11    71       250      328  100.260002  116.290001  ... 2023-07-11 116 days  None                 1               0
12    65       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
13    62       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
14    57       418      431  134.869995  128.949997  ... 2023-12-05  20 days  None                 1               0
15    52       443      470  139.490005  142.119995  ... 2024-02-01  42 days  None                 1               0
16    52       500      586  142.500000  178.880005  ... 2024-07-19 126 days  None                 1               0
17    57       631      675  164.350006  165.850006  ... 2024-11-22  60 days  None                 1               0
18    51       687      717  185.309998  192.750000  ... 2025-01-28  48 days  None                 1               1
19    50       718      726  195.559998  187.350006  ... 2025-02-10  12 days  None                 1               0

[20 rows x 15 columns]"
grid,0,Logistic Regression,0.9648173207036536,"[[301  13]
 [ 13 412]]",2022-03-18,2025-02-27,1077 days,59.26928281461434,9792.719558715822,10782.279495239261,-2.0728044128417786,23.782829534539438,-0.7117127757598318,23.6108028936426,-0.48889969131853395,-0.03014352281732301,-0.04263522448314413,-0.025763418913274657,-14.678535797593357,0.5300349719298315,-27.624935112673278,-6.735151832703212,823 days,119 days,13,46.15384615384615,25.529827987938592,-9.982478132486495,-0.16220175917533997,126 days,48 days,1.08024402979464,0.27716797719698527,-0.07195371687698081,-0.025916215498121065,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23  10000.000000     0.000000              NaT
2022-03-24  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   9792.719559     0.091777              NaT
2025-02-24   9792.719559     0.091777              NaT
2025-02-25   9792.719559     0.091777              NaT
2025-02-26   9792.719559     0.091777              NaT
2025-02-27   9792.719559     0.091777          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     70         5       17  141.916000  131.600006  ... 2022-04-12  18 days  None                 1               0
1     79        76       89  117.250000  109.260002  ... 2022-07-27  19 days  None                 1               0
2     73        95      112  117.480003  109.989998  ... 2022-08-29  25 days  None                 1               0
3     82       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
4     76       212      226   97.949997   95.449997  ... 2023-02-10  18 days  None                 1               0
5     73       250      328  100.260002  116.290001  ... 2023-07-11 116 days  None                 1               0
6     67       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
7     63       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
8     58       419      431  135.190002  128.949997  ... 2023-12-05  19 days  None                 1               0
9     53       443      470  139.490005  142.119995  ... 2024-02-01  42 days  None                 1               0
10    53       500      586  142.500000  178.880005  ... 2024-07-19 126 days  None                 1               0
11    58       631      675  164.350006  165.850006  ... 2024-11-22  60 days  None                 1               0
12    52       687      726  185.309998  187.350006  ... 2025-02-10  61 days  None                 1               0

[13 rows x 15 columns]"
grid,1,Random Forest,0.803788903924222,"[[291  23]
 [122 303]]",2022-03-18,2025-02-27,1077 days,47.22598105548038,10335.096183776855,10335.096183776855,3.350961837768555,23.782829534539438,1.1302944263696935,21.905367630470945,0.7741999789697696,0.05159897087494775,0.07636612681522394,0.03670210640671876,-7.196891817092242,0.44350709571972124,-30.796445682005313,-8.41664651897262,1033 days,262 days,23,47.82608695652174,20.88358067006386,-8.014326023438256,0.15068213368636396,117 days,21 days,1.1716483333733552,0.35501064703150137,0.1283262877984829,0.03544275402039604,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23   9969.255859     0.003074              NaT
2022-03-24  10206.604492     0.000000           2 days
...                  ...          ...              ...
2025-02-21  10335.096184     0.000000              NaT
2025-02-24  10335.096184     0.000000              NaT
2025-02-25  10335.096184     0.000000              NaT
2025-02-26  10335.096184     0.000000              NaT
2025-02-27  10335.096184     0.000000              NaT

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     72         3       16  138.702499  131.823502  ... 2022-04-11  19 days  None                 1               0
1     81        53       54  116.062500  116.704498  ... 2022-06-06   3 days  None                 0               1
2     82        55       58  115.480499  112.445000  ... 2022-06-10   3 days  None                 1               0
3     78        68       70  118.273003  111.552002  ... 2022-06-29   2 days  None                 1               0
4     74        76       87  117.250000  108.410004  ... 2022-07-25  17 days  None                 1               0
5     71        93      112  114.000000  109.989998  ... 2022-08-29  27 days  None                 1               0
6     81       153      154   96.430000   94.519997  ... 2022-10-27   1 days  None                 0               0
7     78       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
8     78       207      226   90.849998   95.449997  ... 2023-02-10  28 days  None                 1               0
9     77       249      328   96.199997  116.290001  ... 2023-07-11 117 days  None                 1               0
10    71       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
11    69       390      404  134.009995  123.269997  ... 2023-10-26  20 days  None                 1               0
12    63       418      431  134.869995  128.949997  ... 2023-12-05  20 days  None                 1               0
13    59       442      470  138.970001  142.119995  ... 2024-02-01  43 days  None                 1               0
14    58       500      532  142.500000  164.300003  ... 2024-05-01  47 days  None                 1               1
15    58       533      535  164.789993  167.460007  ... 2024-05-06   4 days  None                 1               0
16    55       557      559  175.899994  174.970001  ... 2024-06-10   4 days  None                 1               0
17    53       584      585  182.970001  181.929993  ... 2024-07-18   1 days  None                 0               0
18    60       644      645  160.869995  162.130005  ... 2024-10-11   1 days  None                 0               0
19    58       675      677  165.850006  167.630005  ... 2024-11-26   4 days  None                 1               0
20    51       701      711  190.649994  196.529999  ... 2025-01-17  15 days  None                 1               1
21    51       712      714  199.070007  198.139999  ... 2025-01-23   2 days  None                 1               0
22    51       719      720  198.000000  202.000000  ... 2025-01-31   1 days  None                 0               0

[23 rows x 15 columns]"
grid,2,XGBoost,0.9634641407307172,"[[300  14]
 [ 13 412]]",2022-03-18,2025-02-27,1077 days,59.53991880920162,9585.239265441895,10555.769203186037,-4.147607345581054,23.782829534539438,-1.4341244998820168,23.514428961427935,-0.9862749438430574,-0.060989127239045156,-0.08555456422191826,-0.04928508389865938,-16.907506972554778,0.5365173058337199,-29.09855044237891,-7.61865028749044,947 days,153 days,14,42.857142857142854,25.529827987938592,-9.982478132486495,-0.29320710023762464,126 days,45 days,1.034606356000655,0.1158906082338762,-0.1466950754679437,-0.0491995691540657,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23  10000.000000     0.000000              NaT
2022-03-24  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   9585.239265     0.091943              NaT
2025-02-24   9585.239265     0.091943              NaT
2025-02-25   9585.239265     0.091943              NaT
2025-02-26   9585.239265     0.091943              NaT
2025-02-27   9585.239265     0.091943          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     70         5       17  141.916000  131.600006  ... 2022-04-12  18 days  None                 1               0
1     79        76       89  117.250000  109.260002  ... 2022-07-27  19 days  None                 1               0
2     73        95      112  117.480003  109.989998  ... 2022-08-29  25 days  None                 1               0
3     83       153      154   96.430000   94.519997  ... 2022-10-27   1 days  None                 0               0
4     81       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
5     75       212      226   97.949997   95.449997  ... 2023-02-10  18 days  None                 1               0
6     71       250      328  100.260002  116.290001  ... 2023-07-11 116 days  None                 1               0
7     66       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
8     62       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
9     57       419      431  135.190002  128.949997  ... 2023-12-05  19 days  None                 1               0
10    52       443      470  139.490005  142.119995  ... 2024-02-01  42 days  None                 1               0
11    52       500      586  142.500000  178.880005  ... 2024-07-19 126 days  None                 1               0
12    57       631      675  164.350006  165.850006  ... 2024-11-22  60 days  None                 1               0
13    51       687      726  185.309998  187.350006  ... 2025-02-10  61 days  None                 1               0

[14 rows x 15 columns]"
grid,3,SVM,0.9648173207036536,"[[301  13]
 [ 13 412]]",2022-03-18,2025-02-27,1077 days,59.26928281461434,9792.719558715822,10782.279495239261,-2.0728044128417786,23.782829534539438,-0.7117127757598318,23.6108028936426,-0.48889969131853395,-0.03014352281732301,-0.04263522448314413,-0.025763418913274657,-14.678535797593357,0.5300349719298315,-27.624935112673278,-6.735151832703212,823 days,119 days,13,46.15384615384615,25.529827987938592,-9.982478132486495,-0.16220175917533997,126 days,48 days,1.08024402979464,0.27716797719698527,-0.07195371687698081,-0.025916215498121065,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23  10000.000000     0.000000              NaT
2022-03-24  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   9792.719559     0.091777              NaT
2025-02-24   9792.719559     0.091777              NaT
2025-02-25   9792.719559     0.091777              NaT
2025-02-26   9792.719559     0.091777              NaT
2025-02-27   9792.719559     0.091777          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     70         5       17  141.916000  131.600006  ... 2022-04-12  18 days  None                 1               0
1     79        76       89  117.250000  109.260002  ... 2022-07-27  19 days  None                 1               0
2     73        95      112  117.480003  109.989998  ... 2022-08-29  25 days  None                 1               0
3     82       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
4     76       212      226   97.949997   95.449997  ... 2023-02-10  18 days  None                 1               0
5     73       250      328  100.260002  116.290001  ... 2023-07-11 116 days  None                 1               0
6     67       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
7     63       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
8     58       419      431  135.190002  128.949997  ... 2023-12-05  19 days  None                 1               0
9     53       443      470  139.490005  142.119995  ... 2024-02-01  42 days  None                 1               0
10    53       500      586  142.500000  178.880005  ... 2024-07-19 126 days  None                 1               0
11    58       631      675  164.350006  165.850006  ... 2024-11-22  60 days  None                 1               0
12    52       687      726  185.309998  187.350006  ... 2025-02-10  61 days  None                 1               0

[13 rows x 15 columns]"
grid,4,Naive Bayes,0.5751014884979703,"[[  0 314]
 [  0 425]]",2022-03-18,2025-02-27,1077 days,0.0,12365.090393066406,15130.330749511719,23.650903930664064,23.782829534539438,7.507658362857361,35.478525273397906,5.092718476676672,0.21161134249530564,0.33203426096303845,0.18139012199975763,0.039336678968396654,0.9927989105503595,-41.389565650478986,-5.8556367846472375,654 days,46 days,0,,,,,,,,,,,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10274.954117     0.000000              NaT
2022-03-23  10158.701706     0.011314              NaT
2022-03-24  10399.346848     0.000000           2 days
...                  ...          ...              ...
2025-02-21  13179.770660     0.128917              NaT
2025-02-24  13149.840393     0.130895              NaT
2025-02-25  12870.250259     0.149374              NaT
2025-02-26  12673.880081     0.162353              NaT
2025-02-27  12365.090393     0.182761          23 days

[739 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []"
grid,5,Gradient Boosting,0.7807848443843031,"[[279  35]
 [127 298]]",2022-03-18,2025-02-27,1077 days,47.902571041948576,9044.026466369629,10307.367797851562,-9.559735336303712,23.782829534539438,-3.368366044918414,21.115950411991065,-2.3236558715835187,-0.1595176148455827,-0.22247472463895954,-0.10752171325759831,-20.261427608397078,0.44997556983501313,-31.327310018289534,-8.549362603043676,1060 days,268 days,21,42.857142857142854,15.988428523585863,-9.982478132486495,-0.48831999626451905,116 days,24 days,0.9021306931873723,-0.28064779596274336,-0.38797585249493216,-0.09718086013857624,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23   9969.255859     0.003074              NaT
2022-03-24  10206.604492     0.000000           2 days
...                  ...          ...              ...
2025-02-21   9044.026466     0.122567              NaT
2025-02-24   9044.026466     0.122567              NaT
2025-02-25   9044.026466     0.122567              NaT
2025-02-26   9044.026466     0.122567              NaT
2025-02-27   9044.026466     0.122567        1060 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     72         3       17  138.702499  131.600006  ... 2022-04-12  20 days  None                 1               0
1     81        53       54  116.062500  116.704498  ... 2022-06-06   3 days  None                 0               1
2     82        55       59  115.480499  106.786499  ... 2022-06-13   6 days  None                 1               0
3     74        68       69  118.273003  115.802498  ... 2022-06-28   1 days  None                 0               0
4     73        76       89  117.250000  109.260002  ... 2022-07-27  19 days  None                 1               0
5     70        93      112  114.000000  109.989998  ... 2022-08-29  27 days  None                 1               0
6     80       153      154   96.430000   94.519997  ... 2022-10-27   1 days  None                 0               0
7     77       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
8     77       207      211   90.849998   95.099998  ... 2023-01-20   7 days  None                 1               1
9     75       212      226   97.949997   95.449997  ... 2023-02-10  18 days  None                 1               0
10    71       250      328  100.260002  116.290001  ... 2023-07-11 116 days  None                 1               0
11    66       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
12    62       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
13    57       418      431  134.869995  128.949997  ... 2023-12-05  20 days  None                 1               0
14    53       443      470  139.490005  142.119995  ... 2024-02-01  42 days  None                 1               0
15    53       500      525  142.500000  154.309998  ... 2024-04-22  38 days  None                 1               0
16    52       527      529  157.490005  174.369995  ... 2024-04-26   2 days  None                 1               1
17    53       530      532  169.059998  164.300003  ... 2024-05-01   2 days  None                 1               1
18    53       533      552  164.789993  175.199997  ... 2024-05-30  28 days  None                 1               0
19    56       608      618  166.899994  156.660004  ... 2024-09-04  15 days  None                 1               0
20    55       628      631  159.860001  164.350006  ... 2024-09-23   5 days  None                 1               0

[21 rows x 15 columns]"
grid,6,K-Nearest Neighbors,0.8768606224627875,"[[257  57]
 [ 34 391]]",2022-03-18,2025-02-27,1077 days,64.81732070365359,10376.16479492188,11422.81472778321,3.761647949218805,23.782829534539438,1.26715082480382,24.99255132311884,0.867755570953066,0.05070113924830349,0.07357047089044988,0.03919306742172674,-9.603394346311585,0.5619618252790546,-32.33099392729268,-5.472412258463983,813 days,90 days,31,45.16129032258064,27.63242319138022,-11.347446858814681,0.12102310368635738,108 days,22 days,1.1778174502722287,0.36897993810711255,0.1107064091608151,0.026761065340431434,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23   9969.255859     0.003074              NaT
2022-03-24  10206.604492     0.000000           2 days
...                  ...          ...              ...
2025-02-21  10376.164795     0.091628              NaT
2025-02-24  10376.164795     0.091628              NaT
2025-02-25  10376.164795     0.091628              NaT
2025-02-26  10376.164795     0.091628              NaT
2025-02-27  10376.164795     0.091628          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     72         3       17  138.702499  131.600006  ... 2022-04-12  20 days  None                 1               0
1     81        57       58  116.327499  112.445000  ... 2022-06-10   1 days  None                 0               0
2     82        70       71  111.552002  110.000000  ... 2022-06-30   1 days  None                 0               0
3     77        76       82  117.250000  112.639999  ... 2022-07-18  10 days  None                 1               0
4     76        85       87  114.279999  108.410004  ... 2022-07-25   4 days  None                 1               0
5     72        93      109  114.000000  113.500000  ... 2022-08-24  22 days  None                 1               0
6     82       138      139   99.830002  100.680000  ... 2022-10-06   1 days  None                 0               0
7     87       144      145   95.150002   99.989998  ... 2022-10-14   1 days  None                 0               0
8     88       150      154   97.849998   94.519997  ... 2022-10-27   6 days  None                 1               0
9     85       167      194   98.260002   87.110001  ... 2022-12-23  38 days  None                 1               1
10    84       195      196   88.800003   86.980003  ... 2022-12-28   1 days  None                 0               0
11    80       200      236   90.349998   89.870003  ... 2023-02-27  54 days  None                 1               0
12    77       241      316   94.019997  120.000000  ... 2023-06-22 108 days  None                 1               1
13    76       317      318  121.379997  120.760002  ... 2023-06-26   3 days  None                 0               0
14    73       332      381  125.940002  129.830002  ... 2023-09-25  70 days  None                 1               0
15    69       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
16    63       419      431  135.190002  128.949997  ... 2023-12-05  19 days  None                 1               0
17    58       443      471  139.490005  139.259995  ... 2024-02-02  43 days  None                 1               0
18    57       500      542  142.500000  170.630005  ... 2024-05-15  61 days  None                 1               1
19    56       543      561  173.289993  178.250000  ... 2024-06-12  27 days  None                 1               1
20    56       562      586  176.110001  178.880005  ... 2024-07-19  36 days  None                 1               0
21    62       630      642  163.500000  163.940002  ... 2024-10-08  18 days  None                 1               1
22    62       643      646  163.449997  163.639999  ... 2024-10-14   5 days  None                 1               1
23    61       647      653  165.789993  164.759995  ... 2024-10-23   8 days  None                 1               1
24    62       654      655  162.830002  163.669998  ... 2024-10-25   1 days  None                 0               0
25    60       657      673  167.729996  177.339996  ... 2024-11-20  22 days  None                 1               1
26    62       674      676  173.899994  166.089996  ... 2024-11-25   4 days  None                 1               0
27    55       687      702  185.309998  191.369995  ... 2025-01-03  23 days  None                 1               1
28    54       703      715  193.979996  198.100006  ... 2025-01-24  18 days  None                 1               1
29    56       716      719  192.410004  198.000000  ... 2025-01-30   3 days  None                 1               1
30    55       720      726  202.000000  187.350006  ... 2025-02-10  10 days  None                 1               0

[31 rows x 15 columns]"
grid,7,Decision Tree,0.9566982408660352,"[[294  20]
 [ 12 413]]",2022-03-18,2025-02-27,1077 days,61.02841677943166,9330.730751037598,10263.200691223146,-6.692692489624023,23.782829534539438,-2.334495338847198,24.00491546571893,-1.607778390465009,-0.09725072109422991,-0.13295928859547954,-0.0715262800698542,-20.162937163130074,0.5663852845576437,-32.6382881448228,-9.349954899302034,1033 days,215 days,18,44.44444444444444,25.529827987938592,-9.982478132486495,-0.38136299552186115,126 days,36 days,0.9794827203760357,-0.059199125300793715,-0.24697088956345528,-0.08178232712689482,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-03-18  10000.000000     0.000000              NaT
2022-03-21  10000.000000     0.000000              NaT
2022-03-22  10000.000000     0.000000              NaT
2022-03-23  10000.000000     0.000000              NaT
2022-03-24  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   9330.730751     0.090856              NaT
2025-02-24   9330.730751     0.090856              NaT
2025-02-25   9330.730751     0.090856              NaT
2025-02-26   9330.730751     0.090856              NaT
2025-02-27   9330.730751     0.090856          23 days

[739 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     70         5       17  141.916000  131.600006  ... 2022-04-12  18 days  None                 1               0
1     78        68       69  118.273003  115.802498  ... 2022-06-28   1 days  None                 0               0
2     77        76       89  117.250000  109.260002  ... 2022-07-27  19 days  None                 1               0
3     72        95      112  117.480003  109.989998  ... 2022-08-29  25 days  None                 1               0
4     81       150      154   97.849998   94.519997  ... 2022-10-27   6 days  None                 1               0
5     78       168      189   97.900002   90.760002  ... 2022-12-16  30 days  None                 1               0
6     77       209      210   92.139999   90.720001  ... 2023-01-19   1 days  None                 0               0
7     71       212      226   97.949997   95.449997  ... 2023-02-10  18 days  None                 1               0
8     67       250      328  100.260002  116.290001  ... 2023-07-11 116 days  None                 1               0
9     62       332      357  125.940002  127.180000  ... 2023-08-21  35 days  None                 1               1
10    62       358      381  128.509995  129.830002  ... 2023-09-25  34 days  None                 1               0
11    58       391      404  136.940002  123.269997  ... 2023-10-26  17 days  None                 1               0
12    53       419      431  135.190002  128.949997  ... 2023-12-05  19 days  None                 1               0
13    50       441      442  136.839996  138.970001  ... 2023-12-20   1 days  None                 0               1
14    50       443      470  139.490005  142.119995  ... 2024-02-01  42 days  None                 1               0
15    50       500      586  142.500000  178.880005  ... 2024-07-19 126 days  None                 1               0
16    54       630      675  163.500000  165.850006  ... 2024-11-22  63 days  None                 1               0
17    49       686      726  182.850006  187.350006  ... 2025-02-10  62 days  None                 1               0

[18 rows x 15 columns]"
